exp_id,avg_err_dist[m],avg_err_dist[px],avg_direct_err_dist[m],accuracy,existing_rate,st_dt,ed_dt,mac,floor,st_node,ed_node,via_dts_list,via_nodes_list,match_rate,adjacent_rate,middle_rate,wrong_node_rate
170127_057,3.46,26.4,5.89,92.5,100,2017-01-27T18:12:00.000Z,2017-01-27T18:22:00.000Z,00:11:81:10:01:47,W2-9F,22,21,[],[],0,0,92.5,7.5
170127_058,2.08,15.9,4.92,100,100,2017-01-27T18:21:30.000Z,2017-01-27T18:22:48.000Z,00:11:81:10:01:1b,W2-9F,14,23,"[ { ""$date"" : ""2017-01-28T03:21:41.000+0900"" }, { ""$date"" : ""2017-01-28T03:22:10.000+0900"" }, { ""$date"" : ""2017-01-28T03:22:36.000+0900"" } ]","[ 15, 18, 22 ]",20,6.67,73.33,0
170127_059,3.07,23.49,6.15,100,100,2017-01-27T18:21:30.000Z,2017-01-27T18:22:48.000Z,00:11:81:10:01:00,W2-9F,14,23,"[ { ""$date"" : ""2017-01-28T03:21:41.000+0900"" }, { ""$date"" : ""2017-01-28T03:22:10.000+0900"" }, { ""$date"" : ""2017-01-28T03:22:36.000+0900"" } ]","[ 15, 18, 22 ]",20,6.67,73.33,0
170127_060,1.64,12.52,4.16,100,100,2017-01-27T18:21:30.000Z,2017-01-27T18:22:48.000Z,00:11:81:10:01:0d,W2-9F,14,23,"[ { ""$date"" : ""2017-01-28T03:21:41.000+0900"" }, { ""$date"" : ""2017-01-28T03:22:10.000+0900"" }, { ""$date"" : ""2017-01-28T03:22:36.000+0900"" } ]","[ 15, 18, 22 ]",26.67,0,73.33,0
170127_061,2.71,20.67,4.38,87.1,83.78,2017-01-27T18:28:30.000Z,2017-01-27T18:31:37.000Z,00:11:81:10:01:1b,W2-9F,1,1,"[ { ""$date"" : ""2017-01-28T03:28:56.000+0900"" }, { ""$date"" : ""2017-01-28T03:29:21.000+0900"" }, { ""$date"" : ""2017-01-28T03:29:51.000+0900"" }, { ""$date"" : ""2017-01-28T03:30:05.000+0900"" }, { ""$date"" : ""2017-01-28T03:30:32.000+0900"" }, { ""$date"" : ""2017-01-28T03:30:58.000+0900"" }, { ""$date"" : ""2017-01-28T03:31:12.000+0900"" } ]","[ 5, 8, 12, 15, 18, 22, 5 ]",16.13,6.45,64.52,12.9
170127_062,2.08,15.9,4.31,94.59,100,2017-01-27T18:28:30.000Z,2017-01-27T18:31:37.000Z,00:11:81:10:01:00,W2-9F,1,1,"[ { ""$date"" : ""2017-01-28T03:28:56.000+0900"" }, { ""$date"" : ""2017-01-28T03:29:21.000+0900"" }, { ""$date"" : ""2017-01-28T03:29:51.000+0900"" }, { ""$date"" : ""2017-01-28T03:30:05.000+0900"" }, { ""$date"" : ""2017-01-28T03:30:32.000+0900"" }, { ""$date"" : ""2017-01-28T03:30:58.000+0900"" }, { ""$date"" : ""2017-01-28T03:31:12.000+0900"" } ]","[ 5, 8, 12, 15, 18, 22, 5 ]",13.51,8.11,72.97,5.41
170127_063,2.33,17.77,4.7,89.19,100,2017-01-27T18:28:30.000Z,2017-01-27T18:31:37.000Z,00:11:81:10:01:0d,W2-9F,1,1,"[ { ""$date"" : ""2017-01-28T03:28:56.000+0900"" }, { ""$date"" : ""2017-01-28T03:29:21.000+0900"" }, { ""$date"" : ""2017-01-28T03:29:51.000+0900"" }, { ""$date"" : ""2017-01-28T03:30:05.000+0900"" }, { ""$date"" : ""2017-01-28T03:30:32.000+0900"" }, { ""$date"" : ""2017-01-28T03:30:58.000+0900"" }, { ""$date"" : ""2017-01-28T03:31:12.000+0900"" } ]","[ 5, 8, 12, 15, 18, 22, 5 ]",16.22,5.41,67.57,10.81
170127_064,1.73,13.21,3.94,96.43,100,2017-01-27T18:32:00.000Z,2017-01-27T18:34:22.000Z,00:11:81:10:01:1b,W2-9F,1,14,"[ { ""$date"" : ""2017-01-28T03:32:27.000+0900"" }, { ""$date"" : ""2017-01-28T03:32:42.000+0900"" }, { ""$date"" : ""2017-01-28T03:33:10.000+0900"" }, { ""$date"" : ""2017-01-28T03:33:24.000+0900"" }, { ""$date"" : ""2017-01-28T03:33:54.000+0900"" }, { ""$date"" : ""2017-01-28T03:34:10.000+0900"" } ]","[ 5, 22, 18, 8, 12, 15 ]",21.43,7.14,67.86,3.57
170127_065,2.79,21.33,4.79,89.29,100,2017-01-27T18:32:00.000Z,2017-01-27T18:34:22.000Z,00:11:81:10:01:00,W2-9F,1,14,"[ { ""$date"" : ""2017-01-28T03:32:27.000+0900"" }, { ""$date"" : ""2017-01-28T03:32:42.000+0900"" }, { ""$date"" : ""2017-01-28T03:33:10.000+0900"" }, { ""$date"" : ""2017-01-28T03:33:24.000+0900"" }, { ""$date"" : ""2017-01-28T03:33:54.000+0900"" }, { ""$date"" : ""2017-01-28T03:34:10.000+0900"" } ]","[ 5, 22, 18, 8, 12, 15 ]",17.86,7.14,64.29,10.71
170127_066,1.9,14.48,4.24,96.43,100,2017-01-27T18:32:00.000Z,2017-01-27T18:34:22.000Z,00:11:81:10:01:0d,W2-9F,1,14,"[ { ""$date"" : ""2017-01-28T03:32:27.000+0900"" }, { ""$date"" : ""2017-01-28T03:32:42.000+0900"" }, { ""$date"" : ""2017-01-28T03:33:10.000+0900"" }, { ""$date"" : ""2017-01-28T03:33:24.000+0900"" }, { ""$date"" : ""2017-01-28T03:33:54.000+0900"" }, { ""$date"" : ""2017-01-28T03:34:10.000+0900"" } ]","[ 5, 22, 18, 8, 12, 15 ]",21.43,7.14,67.86,3.57
